# target,,uncorrected (10 iterations),,,,extrapolated (11 iterations),,,,high frequency slope correction (7 iterations),,,
# period (s),sa (g),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s)
,,,,0.336119,0.0303887,,,0.188694,0.0208568,,,0.188694,0.0208371
,,,,0.337141,0.0304783,,,0.189396,0.0208955,,,0.189396,0.0208759
,,,,0.338166,0.0305677,,,0.1901,0.0209344,,,0.1901,0.0209147
,,,,0.339195,0.0306569,,,0.190808,0.0209733,,,0.190808,0.0209535
,,,,0.340226,0.030746,,,0.191517,0.0210122,,,0.191517,0.0209925
,,,,0.341261,0.0308348,,,0.19223,0.0210513,,,0.19223,0.0210315
,,,,0.342298,0.0309234,,,0.192945,0.0210904,,,0.192945,0.0210706
,,,,0.343339,0.0310117,,,0.193663,0.0211296,,,0.193663,0.0211097
,,,,0.344383,0.0310998,,,0.194383,0.0211689,,,0.194383,0.0211489
,,,,0.34543,0.0311876,,,0.195106,0.0212082,,,0.195106,0.0211882
,,,,0.34648,0.0312751,,,0.195832,0.0212476,,,0.195832,0.0212276
,,,,0.347534,0.0313623,,,0.196561,0.0212871,,,0.196561,0.0212671
,,,,0.34859,0.0314492,,,0.197292,0.0213266,,,0.197292,0.0213066
,,,,0.34965,0.0315358,,,0.198026,0.0213663,,,0.198026,0.0213462
,,,,0.350714,0.0316221,,,0.198762,0.021406,,,0.198762,0.0213858
,,,,0.35178,0.031708,,,0.199502,0.0214458,,,0.199502,0.0214256
,,,,0.35285,0.0317936,,,0.200244,0.0214867,,,0.200244,0.0214673
,,,,0.353922,0.0318788,,,0.200989,0.0215279,,,0.200989,0.0215092
,,,,0.354999,0.0319637,,,0.201737,0.0215693,,,0.201737,0.0215514
,,,,0.356078,0.0320482,,,0.202487,0.021611,,,0.202487,0.0215938
,,,,0.357161,0.0321323,,,0.20324,0.0216529,,,0.20324,0.0216365
,,,,0.358247,0.0322161,,,0.203997,0.0216951,,,0.203997,0.0216795
,,,,0.359336,0.0322995,,,0.204755,0.0217376,,,0.204755,0.0217227
,,,,0.360428,0.0323824,,,0.205517,0.0217803,,,0.205517,0.0217662
,,,,0.361524,0.032465,,,0.206282,0.0218233,,,0.206282,0.02181
,,,,0.362624,0.0325472,,,0.207049,0.0218666,,,0.207049,0.0218541
,,,,0.363726,0.0326291,,,0.207819,0.0219102,,,0.207819,0.0218985
,,,,0.364832,0.0327105,,,0.208592,0.0219541,,,0.208592,0.0219432
,,,,0.365941,0.0327915,,,0.209368,0.0219984,,,0.209368,0.0219881
,,,,0.367054,0.0328721,,,0.210147,0.0220429,,,0.210147,0.0220334
,,,,0.36817,0.0329522,,,0.210929,0.0220878,,,0.210929,0.022079
