# Strata OUTPUT -- Response -- 25 (Outcrop) -- Shear Strain Time Series -- manual-example\G01000.AT2
# Example site for the manual figures
# Time (s),S-1
2.135,-0.000536287
2.14,-0.000559549
2.145,-0.000523444
2.15,-0.000415766
2.155,-0.000248269
2.16,-5.13392e-05
2.165,0.000145075
2.17,0.000327865
2.175,0.000494195
2.18,0.000628215
2.185,0.000695032
2.19,0.000667459
2.195,0.000557603
2.2,0.000414133
2.205,0.000283825
2.21,0.000179662
2.215,8.69536e-05
2.22,-9.64124e-06
2.225,-0.000110068
2.23,-0.000200536
2.235,-0.000262019
2.24,-0.00028034
2.245,-0.000256229
2.25,-0.000206003
2.255,-0.000148239
2.26,-8.95719e-05
2.265,-2.62021e-05
2.27,3.87161e-05
2.275,8.12046e-05
2.28,6.93194e-05
2.285,-1.24464e-06
2.29,-9.07342e-05
2.295,-0.000144774
2.3,-0.000135961
2.305,-7.33947e-05
2.31,1.9196e-05
2.315,0.000126712
2.32,0.000245853
2.325,0.000373824
2.33,0.000499503
2.335,0.000602684
2.34,0.00066064
2.345,0.000658766
2.35,0.00059716
2.355,0.000490941
2.36,0.000365966
2.365,0.000248442
2.37,0.000152863
2.375,7.75911e-05
2.38,1.24725e-05
2.385,-4.73935e-05
2.39,-9.82378e-05
2.395,-0.000140671
2.4,-0.000190535
2.405,-0.000270873
2.41,-0.000393436
2.415,-0.000547017
2.42,-0.000702431
2.425,-0.000832462
2.43,-0.000928543
2.435,-0.000996936
2.44,-0.00104289
2.445,-0.00106327
2.45,-0.00105271
2.455,-0.00101223
2.46,-0.000950552
2.465,-0.000881467
2.47,-0.000821137
2.475,-0.000782072
2.48,-0.000765309
2.485,-0.000756457
2.49,-0.000731093
2.495,-0.000670241
2.5,-0.000571131
2.505,-0.000439893
2.51,-0.000279506
2.515,-9.18633e-05
2.52,0.00011141
2.525,0.00030499
2.53,0.000458419
2.535,0.000551668
2.54,0.000584388
2.545,0.000571824
2.55,0.00053431
2.555,0.000489019
2.56,0.000448286
2.565,0.000423849
2.57,0.000428143
2.575,0.000467771
2.58,0.000535503
2.585,0.000609665
2.59,0.00066398
2.595,0.000677799
2.6,0.000637295
2.605,0.000535303
2.61,0.000378011
2.615,0.000190092
2.62,7.32573e-06
2.625,-0.000138168
2.63,-0.00022954
2.635,-0.000270083
2.64,-0.000278629
2.645,-0.000278089
2.65,-0.00028725
2.655,-0.000317949
2.66,-0.000373838
2.665,-0.000451125
2.67,-0.000540326
2.675,-0.000627605
2.68,-0.000695997
2.685,-0.000726818
2.69,-0.000703129
2.695,-0.000614887
2.7,-0.000464539
2.705,-0.000271207
2.71,-6.61556e-05
2.715,0.000120894
2.72,0.00027075
2.725,0.00037331
2.73,0.000425781
2.735,0.000434905
2.74,0.000418575
2.745,0.000403686
2.75,0.000419044
2.755,0.000485068
2.76,0.000605708
2.765,0.000767621
2.77,0.000948112
2.775,0.00112776
2.78,0.00129674
2.785,0.00145032
2.79,0.00158402
2.795,0.00169586
2.8,0.00179019
2.805,0.00187695
2.81,0.00196745
2.815,0.00207158
2.82,0.00219648
2.825,0.00234267
2.83,0.00249905
2.835,0.00264343
2.84,0.0027505
2.845,0.00280252
2.85,0.00279901
2.855,0.00276131
2.86,0.00272592
2.865,0.0027311
2.87,0.00280612
2.875,0.00296446
2.88,0.00320266
2.885,0.00350432
2.89,0.00384169
2.895,0.00417733
2.9,0.00447021
2.905,0.00467958
2.91,0.00476727
2.915,0.00471127
2.92,0.00452226
2.925,0.00423792
2.93,0.0039019
2.935,0.00355295
2.94,0.00322684
2.945,0.00295602
2.95,0.00275962
2.955,0.00263424
2.96,0.00255714
2.965,0.00249497
2.97,0.00240991
2.975,0.00226848
2.98,0.00205094
2.985,0.00175258
2.99,0.00138103
2.995,0.000953252
3,0.000489589
3.005,9.55076e-06
3.01,-0.000468787
3.015,-0.000930833
3.02,-0.00136854
3.025,-0.00178132
3.03,-0.0021752
3.035,-0.00255795
3.04,-0.00293078
3.045,-0.00328441
3.05,-0.00360441
3.055,-0.00387909
3.06,-0.00410244
3.065,-0.00427179
3.07,-0.00438401
3.075,-0.00443574
3.08,-0.00442797
3.085,-0.00436858
3.09,-0.00426932
3.095,-0.00414141
3.1,-0.00399384
3.105,-0.00383331
3.11,-0.00366236
3.115,-0.00347755
3.12,-0.00327252
3.125,-0.00304318
3.13,-0.00278805
3.135,-0.00250427
3.14,-0.00218473
3.145,-0.00182175
3.15,-0.00141437
3.155,-0.000969604
3.16,-0.000493577
3.165,1.64983e-05
3.17,0.000568718
3.175,0.00116586
3.18,0.00180046
3.185,0.00246085
3.19,0.0031381
3.195,0.00382459
3.2,0.00451058
3.205,0.00518759
3.21,0.00585381
3.215,0.00651208
3.22,0.00716373
3.225,0.00780722
3.23,0.00844204
3.235,0.00906957
3.24,0.0096884
3.245,0.0102936
3.25,0.0108827
3.255,0.0114561
3.26,0.0120112
3.265,0.0125437
3.27,0.0130534
3.275,0.013542
3.28,0.0140041
3.285,0.0144229
3.29,0.0147747
3.295,0.0150334
3.3,0.0151736
3.305,0.0151716
3.31,0.0150059
3.315,0.0146637
3.32,0.0141492
3.325,0.013484
3.33,0.0126949
3.335,0.0117984
3.34,0.0107996
3.345,0.00970146
3.35,0.00850992
3.355,0.00723254
3.36,0.00587863
3.365,0.00446079
3.37,0.00299264
3.375,0.00148462
3.38,-5.66115e-05
3.385,-0.00162478
3.39,-0.00321121
3.395,-0.00480489
3.4,-0.00639405
3.405,-0.00796789
3.41,-0.00951867
3.415,-0.0110441
3.42,-0.0125477
3.425,-0.0140322
3.43,-0.0154914
3.435,-0.0169033
3.44,-0.0182289
3.445,-0.0194126
3.45,-0.0203861
3.455,-0.0210777
3.46,-0.0214279
3.465,-0.0214043
3.47,-0.0210156
3.475,-0.0203216
3.48,-0.0194146
3.485,-0.0183687
3.49,-0.0172171
3.495,-0.0159848
3.5,-0.0147237
3.505,-0.0135072
3.51,-0.012399
3.515,-0.0114285
3.52,-0.0105854
3.525,-0.00983112
3.53,-0.00911439
3.535,-0.0083869
3.54,-0.00761672
3.545,-0.00679461
3.55,-0.00592943
3.555,-0.00503666
3.56,-0.00412947
3.565,-0.00321967
3.57,-0.00232409
3.575,-0.00146736
3.58,-0.00067967
3.585,9.78618e-06
3.59,0.000581293
3.595,0.00102655
3.6,0.00134278
3.605,0.00153154
3.61,0.00160661
3.615,0.00159827
3.62,0.00154483
3.625,0.00147944
3.63,0.00142462
3.635,0.00139568
3.64,0.00140813
3.645,0.00148666
3.65,0.00166882
3.655,0.00199286
3.66,0.00247559
3.665,0.00310279
3.67,0.00383917
3.675,0.00464587
3.68,0.00549304
3.685,0.00636308
3.69,0.0072468
3.695,0.00813756
3.7,0.00902707
3.705,0.00990337
3.71,0.0107508
3.715,0.011553
3.72,0.0122965
3.725,0.0129706
3.73,0.0135632
3.735,0.0140564
3.74,0.0144256
3.745,0.0146456
3.75,0.0146969
3.755,0.0145671
3.76,0.01425
3.765,0.0137458
3.77,0.0130641
3.775,0.0122269
3.78,0.0112636
3.785,0.0102017
3.79,0.00906204
3.795,0.00786104
3.8,0.00661524
3.805,0.00534437
3.81,0.00407263
3.815,0.00282576
3.82,0.00162593
3.825,0.000488642
3.83,-0.000576624
3.835,-0.00156267
3.84,-0.00246121
3.845,-0.00325986
3.85,-0.00393886
3.855,-0.00447263
3.86,-0.00483998
3.865,-0.00503746
3.87,-0.00508569
3.875,-0.00502224
3.88,-0.00488398
3.885,-0.00469137
3.89,-0.0044454
3.895,-0.00413871
3.9,-0.00377187
3.905,-0.00335948
3.91,-0.00291992
3.915,-0.00246303
3.92,-0.00198876
3.925,-0.00149203
3.93,-0.000968181
3.935,-0.000418867
3.94,0.000146054
3.945,0.000712457
3.95,0.00126484
3.955,0.00178669
3.96,0.00226212
3.965,0.00267771
3.97,0.00302285
3.975,0.00328854
3.98,0.00346456
3.985,0.00353789
3.99,0.00349805
3.995,0.00334605
4,0.00309562
4.005,0.00276597
4.01,0.00237558
4.015,0.00194151
4.02,0.00148138
4.025,0.00101385
4.03,0.000554748
4.035,0.000111218
4.04,-0.000318873
4.045,-0.000741701
4.05,-0.0011647
4.055,-0.00159668
4.06,-0.00204483
4.065,-0.00251218
4.07,-0.00299853
4.075,-0.00350215
4.08,-0.00402079
4.085,-0.00455162
4.09,-0.00509167
4.095,-0.0056384
4.1,-0.00618796
4.105,-0.00673197
4.11,-0.00725678
4.115,-0.00774513
4.12,-0.00817744
4.125,-0.00853302
4.13,-0.00879283
4.135,-0.00894281
4.14,-0.00898165
4.145,-0.00893031
4.15,-0.00882713
4.155,-0.0087079
4.16,-0.00859241
4.165,-0.00848778
4.17,-0.00839749
4.175,-0.00832421
4.18,-0.00826637
4.185,-0.00821654
4.19,-0.00816434
4.195,-0.00810048
4.2,-0.00801794
4.205,-0.00790917
4.21,-0.00776469
4.215,-0.00757687
4.22,-0.00734524
4.225,-0.00707662
4.23,-0.00678077
4.235,-0.00646685
4.24,-0.00614276
4.245,-0.00581516
4.25,-0.0054892
4.255,-0.00516951
4.26,-0.00486394
4.265,-0.00458463
4.27,-0.00434206
4.275,-0.00413986
4.28,-0.00397468
4.285,-0.00383508
4.29,-0.00369779
4.295,-0.00352873
4.3,-0.00329378
4.305,-0.00297715
4.31,-0.00259429
4.315,-0.00218034
4.32,-0.00176113
4.325,-0.00134093
4.33,-0.000916976
4.335,-0.000494865
4.34,-8.73864e-05
4.345,0.000294946
4.35,0.000648677
4.355,0.000976909
4.36,0.00128937
4.365,0.00159996
4.37,0.00191892
4.375,0.00224792
4.38,0.00258204
4.385,0.00291473
4.39,0.0032441
4.395,0.00357814
4.4,0.00393179
4.405,0.00431614
4.41,0.00473128
4.415,0.00517001
4.42,0.00562441
4.425,0.00608322
4.43,0.00652269
4.435,0.00690498
4.44,0.00719275
4.445,0.0073697
4.45,0.00744378
4.455,0.00743019
4.46,0.00733677
4.465,0.00716532
4.47,0.00692234
4.475,0.00662593
4.48,0.00630069
4.485,0.00596887
4.49,0.00564835
4.495,0.00535444
4.5,0.00510063
4.505,0.00489743
4.51,0.00475023
4.515,0.00465896
4.52,0.00461713
4.525,0.00460959
4.53,0.00461503
4.535,0.00461061
4.54,0.00457406
4.545,0.0044876
4.55,0.00434286
4.555,0.00414007
4.56,0.00388487
4.565,0.00358804
4.57,0.00326796
4.575,0.00295167
4.58,0.0026701
4.585,0.00244935
4.59,0.00230406
